gene_symbols,gene_ids
dock5,ENSG00000007944
st18,ENSG00000271425
crh,ENSG00000263956
rspo2,ENSG00000266338
nfib,ENSG00000173376
ntrk2,ENSG00000123119
notch1,ENSG00000165973
vax1,ENSG00000132688
npffr1,ENSG00000171532
mki67,ENSG00000178403
ina,ENSG00000162599
nkx6-2,ENSG00000147862
klhl35,ENSG00000008441
drd2,ENSG00000066248
plch2,ENSG00000177551
hmga2,ENSG00000136352
lypd1,ENSG00000125820
foxo1,ENSG00000148826
thrb,ENSG00000135577
npas3,ENSG00000053438
mbip,ENSG00000089250
grid2,ENSG00000148400
spock1,ENSG00000264343
gria4,ENSG00000139910
prdm8,ENSG00000130751
ptprk,ENSG00000151322
zic1,ENSG00000148734
nr4a2,ENSG00000175206
fezf2,ENSG00000113389
ptprd,ENSG00000106236
nrgn,ENSG00000122585
prkca,ENSG00000164128
pdlim3,ENSG00000185149
sorbs2,ENSG00000175745
chodl,ENSG00000185551
ephb1,ENSG00000153234
ca10,ENSG00000091129
gria1,ENSG00000157168
sst,ENSG00000154146
nrg1,ENSG00000175352
kit,ENSG00000124785
scube1,ENSG00000099250
btg2,ENSG00000118257
nfia,ENSG00000185652
lhx8,ENSG00000065320
klhdc8a,ENSG00000148053
frzb,ENSG00000140538
pdlim5,ENSG00000133636
tgfa,ENSG00000122584
gabrg1,ENSG00000144227
cryba2,ENSG00000118733
eomes,ENSG00000205927
cadps,ENSG00000082556
synpr,ENSG00000112038
ptx3,ENSG00000115507
hmgb2,ENSG00000165588
gucy1a1,ENSG00000180914
npy1r,ENSG00000145730
esm1,ENSG00000169116
ebf1,ENSG00000007372
fabp7,ENSG00000185630
sp8,ENSG00000167081
hey1,ENSG00000138650
shh,ENSG00000118946
aldh1a1,ENSG00000169851
otx2,ENSG00000136099
znf503,ENSG00000184226
e2f7,ENSG00000115252
pdzrn4,ENSG00000123360
nell1,ENSG00000172572
c1ql3,ENSG00000138735
ric3,ENSG00000134853
lmo1,ENSG00000154553
crabp1,ENSG00000163110
htr3a,ENSG00000101327
tac3,ENSG00000121440
grem1,ENSG00000165966
pbx3,ENSG00000242265
rbfox3,ENSG00000198300
gpd1,ENSG00000181195
ttyh1,ENSG00000139289
pnoc,ENSG00000057294
ptgdr,ENSG00000149527
fam107a,ENSG00000145632
cx3cr1,ENSG00000123560
rab31,ENSG00000102024
gbx2,ENSG00000076356
myl1,ENSG00000221866
cplx1,ENSG00000004399
parm1,ENSG00000168081
fam110b,ENSG00000143190
